Word_1	Part_1	Word_2	Part_2
the	definite article	тот	определенный артикль
be	verb	быть	глагол
and	conjunction	и	соединение
of	preposition	из	предлог
a	indefinite article	а	неопределенный артикль
in	preposition	в	предлог
to	"preposition	 infinitive marker"	к	"предлог	 маркер инфинитива"
have	verb	иметь	глагол
it	pronoun	это	местоимение
i	pronoun	я	местоимение
that	"pronoun	 determiner	 conjunction"	что	"местоимение	 определитель	 союз"
for	"preposition	 conjunction"	для	"предлог	 союз"
you	pronoun	ты	местоимение
he	pronoun	он	местоимение
with	preposition	с	предлог
on	"preposition	 adverb"	на	"предлог	 наречие"
do	verb	делать	глагол
say	noun	сказать	существительное
this	"pronoun	 determiner"	этот	"местоимение	 определитель"
they	pronoun	они	местоимение
at	preposition	в	предлог
but	"conjunction	 preposition"	но	"союз	 предлог"
we	pronoun	мы	местоимение
his	"pronoun	 determiner"	его	"местоимение	 определитель"
from	preposition	от	предлог
not	adverb	нет	наречие
n't	adverb (contraction for 'not')	нет	наречие (сокращение от «не»)
by	preposition	к	предлог
she	pronoun	она	местоимение
or	conjunction	или	соединение
as	"conjunction	 preposition	 adverb"	как	"союз	 предлог	 наречие"
what	"pronoun	 determiner"	что	"местоимение	 определитель"
go	verb	идти	глагол
their	"pronoun	 determiner"	их	"местоимение	 определитель"
can	modal verb	может	модальный глагол
who	pronoun	ВОЗ	местоимение
get	verb	получать	глагол
if	conjunction	если	соединение
would	modal verb	бы	модальный глагол
her	"pronoun	 determiner"	ее	"местоимение	 определитель"
all	"pronoun	 determiner	 adverb"	все	"местоимение	 определитель	 наречие"
my	"pronoun	 determiner"	мой	"местоимение	 определитель"
make	verb	делать	глагол
about	"preposition	 adverb"	о	"предлог	 наречие"
know	verb	знать	глагол
will	modal verb	воля	модальный глагол
up	"adverb	 preposition"	вверх	"наречие	 предлог"
one	"number	 pronoun"	один	"число	 местоимение"
time	noun	время	существительное
there	"adverb	 pronoun"	там	"наречие	 местоимение"
year	noun	год	существительное
so	"adverb	 conjunction"	так	"наречие	 союз"
think	verb	думать	глагол
when	"adverb	 conjunction"	когда	"наречие	 союз"
which	"pronoun	 determiner"	который	"местоимение	 определитель"
them	pronoun	их	местоимение
some	"pronoun	 determiner"	некоторый	"местоимение	 определитель"
me	pronoun	мне	местоимение
people	noun	люди	существительное
take	verb	брать	глагол
out	"adverb	 preposition"	вне	"наречие	 предлог"
into	preposition	в	предлог
just	adjective	только	прилагательное
see	verb	видеть	глагол
him	pronoun	ему	местоимение
your	"pronoun	 determiner"	твой	"местоимение	 определитель"
come	verb	приходить	глагол
could	modal verb	мог	модальный глагол
now	adverb	сейчас	наречие
than	"conjunction	 preposition"	чем	"союз	 предлог"
like	"preposition	 verb	 conjunction"	нравиться	"предлог	 глагол	 союз"
other	"adjective	 pronoun"	другой	"прилагательное	 местоимение"
how	adverb	как	наречие
then	adverb	затем	наречие
its	"pronoun	 determiner"	его	"местоимение	 определитель"
our	"pronoun	 determiner"	наш	"местоимение	 определитель"
two	number	два	число
more	"adjective	 adverb"	более	"прилагательное	 наречие"
these	"pronoun	 determiner"	эти	"местоимение	 определитель"
want	verb	хотеть	глагол
way	noun	способ	существительное
look	"verb	 noun"	смотреть	"глагол	 существительное"
first	"adjective	 adverb	 noun"	первый	"прилагательное	 наречие	 существительное"
also	adverb	также	наречие
new	adjective	новый	прилагательное
because	conjunction	потому что	соединение
day	noun	день	существительное
use	"verb	 noun"	использовать	"глагол	 существительное"
no	"determiner	 adverb"	нет	"определитель	 наречие"
man	noun	мужчина	существительное
find	verb	находить	глагол
here	adverb	здесь	наречие
thing	noun	вещь	существительное
give	verb	давать	глагол
many	"adjective	 pronoun"	много	"прилагательное	 местоимение"
well	noun	хорошо	существительное
only	"adverb	 adjective"	только	"наречие	 прилагательное"
those	"pronoun	 determiner"	те	"местоимение	 определитель"
tell	verb	рассказывать	глагол
very	adverb	очень	наречие
even	"adverb	 adjective"	даже	"наречие	 прилагательное"
back	"adverb	 noun	 adjective"	назад	"наречие	 существительное	 прилагательное"
any	"determiner	 pronoun"	любой	"определитель	 местоимение"
good	"adjective	 noun"	хороший	"прилагательное	 существительное"
woman	noun	женщина	существительное
through	"preposition	 adverb"	через	"предлог	 наречие"
us	pronoun	нас	местоимение
life	noun	жизнь	существительное
child	noun	ребенок	существительное
work	"verb	 noun"	работа	"глагол	 существительное"
down	"adverb	 preposition"	вниз	"наречие	 предлог"
may	modal verb	может	модальный глагол
after	"preposition	 adverb	 conjunction"	после	"предлог	 наречие	 союз"
should	modal verb	должен	модальный глагол
call	"verb	 noun"	вызов	"глагол	 существительное"
world	noun	мир	существительное
over	"preposition	 adverb"	над	"предлог	 наречие"
school	noun	школа	существительное
still	"adverb	 adjective"	все еще	"наречие	 прилагательное"
try	"verb	 noun"	пытаться	"глагол	 существительное"
last	"adjective	 adverb	 noun	 verb"	последний	"прилагательное	 наречие	 существительное	 глагол"
ask	verb	просить	глагол
need	"verb	 noun"	нуждаться	"глагол	 существительное"
too	adverb	слишком	наречие
feel	"verb	 noun"	чувствовать	"глагол	 существительное"
three	number	три	число
state	"noun	 verb"	состояние	"существительное	 глагол"
never	adverb	никогда	наречие
become	verb	становиться	глагол
between	preposition	между	предлог
high	"adjective	 adverb"	высокий	"прилагательное	 наречие"
really	adverb	Действительно	наречие
something	pronoun	что-нибудь	местоимение
most	"adjective	 adverb	 pronoun"	большинство	"прилагательное	 наречие	 местоимение"
another	"pronoun	 determiner"	другой	"местоимение	 определитель"
much	"adjective	 adverb	 pronoun"	много	"прилагательное	 наречие	 местоимение"
family	noun	семья	существительное
own	"adjective	 verb	 pronoun"	собственный	"прилагательное	 глагол	 местоимение"
leave	"verb	 noun"	оставлять	"глагол	 существительное"
put	verb	помещать	глагол
old	"adjective	 noun"	старый	"прилагательное	 существительное"
while	"conjunction	 noun"	пока	"союз	 существительное"
mean	"verb	 adjective"	иметь в виду	"глагол	 прилагательное"
keep	verb	держать	глагол
student	noun	студент	существительное
why	adverb	почему	наречие
let	verb	позволять	глагол
great	"adjective	 noun"	большой	"прилагательное	 существительное"
same	"adjective	 pronoun"	такой же	"прилагательное	 местоимение"
big	adjective	большой	прилагательное
group	"noun	 verb"	группа	"существительное	 глагол"
begin	verb	начинать	глагол
seem	verb	казаться	глагол
country	noun	страна	существительное
help	"verb	 noun"	помощь	"глагол	 существительное"
talk	"verb	 noun"	разговаривать	"глагол	 существительное"
where	"adverb	 conjunction"	где	"наречие	 союз"
turn	"verb	 noun"	повернуть	"глагол	 существительное"
problem	noun	проблема	существительное
every	determiner	каждый	определитель
start	"verb	 noun"	начинать	"глагол	 существительное"
hand	"noun	 verb"	рука	"существительное	 глагол"
might	modal verb	мощь	модальный глагол
american	"adjective	 noun"	американский	"прилагательное	 существительное"
show	"verb	 noun"	показывать	"глагол	 существительное"
part	"noun	 verb"	часть	"существительное	 глагол"
against	preposition	против	предлог
place	"noun	 verb"	место	"существительное	 глагол"
such	"determiner	 pronoun"	такой	"определитель	 местоимение"
again	adverb	снова	наречие
few	"determiner	 pronoun"	немного	"определитель	 местоимение"
case	noun	случай	существительное
week	noun	неделя	существительное
company	noun	компания	существительное
system	noun	система	существительное
each	"determiner	 pronoun"	каждый	"определитель	 местоимение"
right	"adjective	 adverb	 noun"	верно	"прилагательное	 наречие	 существительное"
program	"noun	 verb"	программа	"существительное	 глагол"
hear	verb	слышать	глагол
question	"noun	 verb"	вопрос	"существительное	 глагол"
during	preposition	в течение	предлог
play	"verb	 noun"	играть	"глагол	 существительное"
government	noun	правительство	существительное
run	"verb	 noun"	бегать	"глагол	 существительное"
small	adjective	маленький	прилагательное
number	noun	число	существительное
off	"adverb	 preposition"	выключенный	"наречие	 предлог"
always	adverb	всегда	наречие
move	"verb	 noun"	двигаться	"глагол	 существительное"
night	noun	ночь	существительное
live	"verb	 adjective"	жить	"глагол	 прилагательное"
mr	noun (title)	Мистер	существительное (название)
point	"noun	 verb"	точка	"существительное	 глагол"
believe	verb	полагать	глагол
hold	"verb	 noun"	держать	"глагол	 существительное"
today	"adverb	 noun"	сегодня	"наречие	 существительное"
bring	verb	приносить	глагол
happen	verb	случаться	глагол
next	"adjective	 adverb	 noun"	следующий	"прилагательное	 наречие	 существительное"
without	preposition	без	предлог
before	"preposition	 adverb	 conjunction"	до	"предлог	 наречие	 союз"
large	adjective	большой	прилагательное
million	"number	 noun"	миллион	"число	 существительное"
must		должен	#VALUE!
home	"noun	 adjective	 adverb"	дом	"существительное	 прилагательное	 наречие"
under	"preposition	 adverb"	под	"предлог	 наречие"
water	"noun	 verb"	вода	"существительное	 глагол"
room	noun	комната	существительное
write	verb	писать	глагол
mother	noun	мать	существительное
area	noun	область	существительное
national	adjective	национальный	прилагательное
money	noun	деньги	существительное
story	noun	история	существительное
young	"adjective	 noun"	молодой	"прилагательное	 существительное"
fact	noun	факт	существительное
month	noun	месяц	существительное
different	adjective	другой	прилагательное
lot	"noun	 adverb"	много	"существительное	 наречие"
study	"noun	 verb"	изучать	"существительное	 глагол"
book	"noun	 verb"	книга	"существительное	 глагол"
eye	"noun	 verb"	глаз	"существительное	 глагол"
job	noun	работа	существительное
word	noun	слово	существительное
though	"conjunction	 adverb"	хотя	"союз	 наречие"
business	noun	бизнес	существительное
issue	"noun	 verb"	проблема	"существительное	 глагол"
side	"noun	 adjective	 verb"	сторона	"существительное	 прилагательное	 глагол"
kind	"noun	 adjective"	добрый	"существительное	 прилагательное"
four	number	четыре	число
head	"noun	 verb	 adjective"	голова	"существительное	 глагол	 прилагательное"
far	"adverb	 adjective"	далеко	"наречие	 прилагательное"
black	"adjective	 noun"	черный	"прилагательное	 существительное"
long	"adjective	 adverb	 verb"	длинный	"прилагательное	 наречие	 глагол"
both	"determiner	 pronoun"	оба	"определитель	 местоимение"
little	"adjective	 adverb	 noun"	маленький	"прилагательное	 наречие	 существительное"
house	"noun	 verb"	дом	"существительное	 глагол"
yes	"adverb	 noun"	да	"наречие	 существительное"
since	"preposition	 conjunction	 adverb"	с	"предлог	 союз	 наречие"
provide	verb	предоставлять	глагол
service	"noun	 verb"	услуга	"существительное	 глагол"
around	"preposition	 adverb"	вокруг	"предлог	 наречие"
friend	noun	друг	существительное
important	adjective	важный	прилагательное
father	noun	отец	существительное
sit	verb	сидеть	глагол
away	adverb	прочь	наречие
until	"preposition	 conjunction"	до	"предлог	 союз"
power	"noun	 verb"	власть	"существительное	 глагол"
hour	noun	час	существительное
game	"noun	 adjective	 verb"	игра	"существительное	 прилагательное	 глагол"
often	adverb	часто	наречие
yet	"adverb	 conjunction"	еще	"наречие	 союз"
line	"noun	 verb"	линия	"существительное	 глагол"
political	adjective	политический	прилагательное
end	"noun	 verb"	конец	"существительное	 глагол"
among	preposition	среди	предлог
ever	adverb	всегда	наречие
stand	"verb	 noun"	стоять	"глагол	 существительное"
bad	"adjective	 noun"	плохой	"прилагательное	 существительное"
lose	verb	терять	глагол
however	"adverb	 conjunction"	однако	"наречие	 союз"
member	noun	член	существительное
pay	"verb	 noun"	платить	"глагол	 существительное"
law	noun	закон	существительное
meet	"verb	 noun"	встретиться	"глагол	 существительное"
car	noun	машина	существительное
city	noun	город	существительное
almost	adverb	почти	наречие
include	verb	включать	глагол
continue	verb	продолжать	глагол
set	"verb	 noun	 adjective"	набор	"глагол	 существительное	 прилагательное"
later	"adverb	 adjective"	позже	"наречие	 прилагательное"
community	noun	сообщество	существительное
name	"noun	 verb"	имя	"существительное	 глагол"
five	number	пять	число
once	"adverb	 conjunction"	один раз	"наречие	 союз"
white	"adjective	 noun"	белый	"прилагательное	 существительное"
least	"adjective	 adverb	 noun"	наименее	"прилагательное	 наречие	 существительное"
president	noun	президент	существительное
learn	verb	учиться	глагол
real	"adjective	 adverb"	настоящий	"прилагательное	 наречие"
change	"noun	 verb"	изменять	"существительное	 глагол"
team	"noun	 verb"	команда	"существительное	 глагол"
minute	"noun	 adjective"	минута	"существительное	 прилагательное"
best	"adjective	 adverb	 noun"	лучший	"прилагательное	 наречие	 существительное"
several	"determiner	 pronoun"	несколько	"определитель	 местоимение"
idea	noun	идея	существительное
kid	"noun	 verb"	ребенок	"существительное	 глагол"
body	noun	тело	существительное
information	noun	информация	существительное
nothing	"pronoun	 noun"	ничего	"местоимение	 существительное"
ago	adverb	назад	наречие
lead	"verb	 noun"	вести	"глагол	 существительное"
social	adjective	социальный	прилагательное
understand	verb	понимать	глагол
whether	conjunction	ли	соединение
watch	"verb	 noun"	смотреть	"глагол	 существительное"
together	adverb	вместе	наречие
follow	verb	следовать	глагол
parent	noun	родитель	существительное
stop	"verb	 noun"	останавливаться	"глагол	 существительное"
face	"noun	 verb"	лицо	"существительное	 глагол"
anything	pronoun	что-либо	местоимение
create	verb	создавать	глагол
public	"adjective	 noun"	общественный	"прилагательное	 существительное"
already	adverb	уже	наречие
speak	verb	говорить	глагол
others	pronoun	другие	местоимение
read	"verb	 noun"	читать	"глагол	 существительное"
level	"noun	 adjective	 verb"	уровень	"существительное	 прилагательное	 глагол"
allow	verb	позволять	глагол
add	verb	добавлять	глагол
office	noun	офис	существительное
spend	verb	тратить	глагол
door	noun	дверь	существительное
health	noun	здоровье	существительное
person	noun	человек	существительное
art	noun	искусство	существительное
sure	"adjective	 adverb"	конечно	"прилагательное	 наречие"
war	noun	война	существительное
history	noun	история	существительное
party	noun	вечеринка	существительное
within	"preposition	 adverb"	в пределах	"предлог	 наречие"
grow	verb	расти	глагол
result	"noun	 verb"	результат	"существительное	 глагол"
open	"adjective	 verb"	открыть	"прилагательное	 глагол"
morning	noun	утро	существительное
walk	"verb	 noun"	ходить	"глагол	 существительное"
reason	"noun	 verb"	причина	"существительное	 глагол"
low	"adjective	 adverb	 noun"	низкий	"прилагательное	 наречие	 существительное"
win	"verb	 noun"	победить	"глагол	 существительное"
research	"noun	 verb"	исследовать	"существительное	 глагол"
girl	noun	девочка	существительное
guy	noun	парень	существительное
early	"adjective	 adverb"	рано	"прилагательное	 наречие"
food	noun	еда	существительное
moment	noun	момент	существительное
himself	pronoun	сам	местоимение
air	"noun	 verb"	воздух	"существительное	 глагол"
teacher	noun	учитель	существительное
force	"noun	 verb"	сила	"существительное	 глагол"
offer	"verb	 noun"	предложение	"глагол	 существительное"
enough	"adjective	 adverb	 pronoun"	достаточно	"прилагательное	 наречие	 местоимение"
education	noun	образование	существительное
across	"preposition	 adverb"	через	"предлог	 наречие"
although	conjunction	хотя	соединение
remember	verb	помнить	глагол
foot	noun	ступня	существительное
second	"number	 noun	 adjective"	второй	"число	 существительное	 прилагательное"
boy	noun	мальчик	существительное
maybe	adverb	может быть	наречие
toward	preposition	к	предлог
able	adjective	способный	прилагательное
age	"noun	 verb"	возраст	"существительное	 глагол"
policy	noun	политика	существительное
everything	pronoun	все	местоимение
love	"noun	 verb"	любовь	"существительное	 глагол"
process	"noun	 verb"	процесс	"существительное	 глагол"
music	noun	музыка	существительное
including	preposition	включая	предлог
consider	verb	учитывать	глагол
appear	verb	появляться	глагол
actually	adverb	на самом деле	наречие
buy	verb	купить	глагол
probably	adverb	вероятно	наречие
human	"adjective	 noun"	человек	"прилагательное	 существительное"
wait	"verb	 noun"	ждать	"глагол	 существительное"
serve	verb	служить	глагол
market	"noun	 verb"	рынок	"существительное	 глагол"
die	verb	умереть	глагол
send	verb	отправлять	глагол
expect	verb	ожидать	глагол
sense	"noun	 verb"	смысл	"существительное	 глагол"
build	"verb	 noun"	строить	"глагол	 существительное"
stay	"verb	 noun"	оставаться	"глагол	 существительное"
fall	"verb	 noun"	падать	"глагол	 существительное"
oh	interjection	ой	междометие
nation	noun	нация	существительное
plan	"noun	 verb"	план	"существительное	 глагол"
cut	"verb	 noun"	резать	"глагол	 существительное"
college	noun	колледж	существительное
interest	"noun	 verb"	интерес	"существительное	 глагол"
death	noun	смерть	существительное
course	noun	курс	существительное
someone	pronoun	кто-то	местоимение
experience	"noun	 verb"	опыт	"существительное	 глагол"
behind	"preposition	 adverb"	позади	"предлог	 наречие"
reach	"verb	 noun"	достигать	"глагол	 существительное"
local	"adjective	 noun"	местный	"прилагательное	 существительное"
kill	verb	убийство	глагол
six	number	шесть	число
remain	verb	оставаться	глагол
effect	"noun	 verb"	эффект	"существительное	 глагол"
yeah	"adverb	 interjection"	ага	"наречие	 междометие"
suggest	verb	предлагать	глагол
class	"noun	 verb"	сорт	"существительное	 глагол"
control	"noun	 verb"	контроль	"существительное	 глагол"
raise	"verb	 noun"	поднимать	"глагол	 существительное"
care	"noun	 verb"	забота	"существительное	 глагол"
perhaps	adverb	возможно	наречие
late	"adjective	 adverb"	поздно	"прилагательное	 наречие"
hard	"adjective	 adverb"	жесткий	"прилагательное	 наречие"
field	noun	поле	существительное
else	"adverb	 adjective"	еще	"наречие	 прилагательное"
pass	"verb	 noun"	проходить	"глагол	 существительное"
former	"adjective	 noun"	бывший	"прилагательное	 существительное"
sell	verb	продавать	глагол
major	"adjective	 noun"	главный	"прилагательное	 существительное"
sometimes	adverb	иногда	наречие
require	verb	требовать	глагол
