Datum,Zeit,Übungsdauer,Richtig,Falsch,Durchschnittliche Reaktionszeit
18.03.2025,16:44:43,,113,17,0.7673
18.10.2025,10:08:45,,5,7,0.5823
18.10.2025,10:14:58,,44,46,0.445
18.10.2025,10:43:00,,6,6,0.592
18.10.2025,15:41:11,,3,2,1.0549
18.10.2025,15:56:12,,7,5,0.5228
18.10.2025,16:08:53,,10,10,0.4965
18.10.2025,22:56:37,,22,4,0.7816
18.10.2025,23:06:03,,38,7,0.3415
18.10.2025,23:08:14,,54,0,0.3801
18.10.2025,23:18:00,,23,0,0.4206
18.10.2025,23:21:17,,20,9,0.6645
18.10.2025,23:24:11,,18,1,0.5488
19.10.2025,12:13:13,,26,3,0.7457
19.10.2025,12:17:43,,50,3,0.4408
19.10.2025,12:40:16,,6,2,2.8174
19.10.2025,16:01:25,,5,1,1.1386
21.10.2025,18:59:34,,20,19,49.8156
22.10.2025,21:49:33,,13,11,22.3251
23.10.2025,20:11:30,,7,4,0.292
23.10.2025,20:13:09,,19,0,1.5786
27.10.2025,14:51:54,,48,12,0.3992
27.10.2025,20:02:20,,10,1,0.8034
04.11.2025,18:32:10,,0,0,0.0
04.11.2025,19:49:36,,0,0,0.0
05.11.2025,15:11:59,N/A,15,3,2.4034
