Weight	Word_1	Part_1	Word_2	Part_2	Text_constants_front	Text_constants_back
100	Definiren Sie das Wort „abzuschließen“	Begriffe	Eine Angelegenheit beenden oder erledigen	Begriffe	40,13,1	40,20,2
100	Definiren Sie das Wort „abwendbar“	Begriffe	Eine Gefahr die verhindert oder beseitigt werden kann	Begriffe	40,9,1	40,26,2
100	Was ist Fahrlässigkeit?	Begriffe	Das Außerachtlassen der im Verkehr erforderlichen Sorgfalt	Begriffe	40,14,1	40,18,3
100	Was ist Vorsatz?	Begriffe	Das wissentliche und willentliche Handeln	Begriffe	40,7,1	40,20,2
100	Was bedeutet „absichtlich“?	Begriffe	Mit voller Absicht oder Willen	Begriffe	40,11,1	40,14,2
100	Definieren Sie „unsichtbar“.	Begriffe	Nicht wahrnehmbar oder nicht zu sehen	Begriffe	40,10,1	40,18,2
100	Was bedeutet „unmittelbar“?	Begriffe	Direkt ohne Zwischenschritte	Begriffe	40,11,1	40,13,2
100	Was bedeutet „räuberisch“?	Begriffe	In Verbindung mit einem Raub stehend	Begriffe	40,10,1	40,17,2
100	Was ist eine Vorstellung (im juristischen Sinne)?	Begriffe	Eine Idee oder ein Bild im Kopf	Begriffe	40,11,1	40,15,2
100	Was ist ein Vergehen?	Begriffe	Eine Straftat mit geringerer Strafandrohung (Mindeststrafe unter einem Jahr)	Begriffe	40,8,1	40,18,4
100	Was ist ein Verbrechen?	Begriffe	Eine schwere Straftat (Mindeststrafe mindestens ein Jahr)	Begriffe	40,10,1	40,18,3
100	Was ist die Mindeststrafe?	Begriffe	Die niedrigste gesetzlich vorgesehene Strafe	Begriffe	40,13,1	40,21,2
100	Wer ist ein Anstifter?	Begriffe	Jemand der einen anderen zur Begehung einer Straftat bewegt	Begriffe	40,9,1	40,19,3
100	Was ist Beihilfe?	Begriffe	Die Unterstützung einer Person bei einer Straftat	Begriffe	40,8,1	40,24,2
150	Was sind Offizialdelikte?	Begriffe	Straftaten die von der Staatsanwaltschaft verfolgt werden müssen	Begriffe	40,15,1	40,20,3
100	Was ist ein Strafantrag?	Begriffe	Ein Antrag des Geschädigten zur Verfolgung einer Straftat	Begriffe	40,11,1	40,18,3
100	Was ist ein absolutes Antragsdelikt?	Begriffe	Eine Straftat die nur bei einem Strafantrag verfolgt wird	Begriffe	40,23,1	40,18,3
100	Was ist ein relatives Antragsdelikt?	Begriffe	Eine Straftat die auch ohne Strafantrag bei öffentlichem Interesse verfolgt werden kann	Begriffe	40,23,1	40,21,4
100	Was ist Sachbeschädigung?	Begriffe	Das vorsätzliche Zerstören oder Beschädigen fremder Sachen	Begriffe	40,16,1	40,18,3
100	Definieren Sie „Verhältnis“.	Begriffe	Eine Beziehung oder Relation	Begriffe	40,10,1	40,13,2
100	Was sind Privatklagedelikte?	Begriffe	Straftaten die der Geschädigte selbst vor Gericht anklagen muss	Begriffe	40,18,1	40,20,3
100	Definieren Sie „Voraussetzungen“.	Begriffe	Bedingungen die erfüllt sein müssen	Begriffe	40,15,1	40,17,2
150	Was ist Rechtswidrigkeit?	Begriffe	Ein Handeln das im Widerspruch zur Rechtsordnung steht	Begriffe	40,16,1	40,17,3
100	Was ist Bestrafung?	Begriffe	Die Verhängung einer Strafe	Begriffe	40,10,1	40,13,2
100	Was bedeutet „vorläufig“?	Begriffe	Temporär oder nicht endgültig	Begriffe	40,9,1	40,14,2
100	Definieren Sie „Verhalten“.	Begriffe	Die Art und Weise wie sich eine Person verhält	Begriffe	40,9,1	40,22,2
100	Was bedeutet „betroffen“?	Begriffe	Geschädigt oder direkt involviert	Begriffe	40,9,1	40,16,2
100	Was ist Einsichtsfähigkeit?	Begriffe	Die Fähigkeit das Unrecht einer Tat zu erkennen	Begriffe	40,18,1	40,23,2
100	Was bedeutet „schuldfähig“?	Begriffe	Jemand der das Unrecht seiner Tat einsehen kann	Begriffe	40,11,1	40,23,2
100	Was ist ein Entschuldigungsgrund?	Begriffe	Ein Grund der die Schuld einer Person ausschließt	Begriffe	40,20,1	40,24,2
100	Was ist Hausfriedensbruch?	Begriffe	Das unbefugte Eindringen in geschützte Räume	Begriffe	40,17,1	40,21,2
100	Was bedeutet „Eindringen“ (im Kontext von Hausfriedensbruch)?	Begriffe	Das unerlaubte Betreten	Begriffe	40,10,1	40,23,1
